date,equity,cash,holdings,dod_pnl_usd,dod_pnl_pct
2026-07-07,75176.9,61487.41,13689.49,0.0,0.0
2026-07-08,75182.28,61487.39,13694.89,5.38,0.0072
2026-07-09,75514.58,61487.37,14027.21,332.3,0.442
2026-07-10,75530.51,61487.35,14043.16,15.93,0.0211
2026-07-13,74721.64,61487.33,13234.31,-808.87,-1.0709
2026-07-14,75569.77,61487.31,14082.46,848.13,1.1351
2026-07-15,75843.19,61487.29,14355.9,273.42,0.3618
2026-07-16,75180.62,61487.27,13693.35,-662.57,-0.8736
2026-07-17,74781.24,61487.25,13293.99,-399.38,-0.5312
2026-07-20,75059.97,61487.23,13572.74,278.73,0.3727
2026-07-21,75694.01,61487.21,14206.8,634.04,0.8447
2026-07-22,75635.53,61487.18,14148.35,-58.48,-0.0773
2026-07-23,75217.46,61487.16,13730.3,-418.07,-0.5527
2026-07-24,74935.28,61487.13,13448.15,-282.18,-0.3752
2026-07-27,74726.1,48125.66,26600.44,-209.18,-0.2791
2026-07-28,74354.04,11472.44,62881.6,-372.06,-0.4979
2026-07-29,74358.88,7532.62,66826.26,4.84,0.0065
2026-07-30,75556.3,7532.61,68023.69,1197.42,1.6103
2026-07-31,74182.21,7734.0,66448.21,-1374.09,-1.8186
2026-08-01,72519.68,7733.98,64785.7,-1662.53,-2.2411
2026-08-04,74640.69,40866.02,33774.67,2121.01,2.9247
2026-08-05,74646.58,40866.02,33780.56,5.89,0.0079
2026-08-06,73650.02,25757.54,47892.48,-996.56,-1.335
2026-08-07,74458.74,24096.77,50361.97,808.72,1.0981
2026-08-08,75510.53,58811.68,16698.85,1051.79,1.4126
2026-08-09,75510.53,58811.68,16698.85,0.0,0.0
2026-08-10,75370.65,20529.01,54841.64,-139.88,-0.1852
2026-08-11,75104.32,23129.76,51974.56,-266.33,-0.3534
2026-08-12,75306.45,41780.12,33526.33,202.13,0.2691
2026-08-13,75495.11,51746.87,23748.24,188.66,0.2505
2026-08-14,75237.73,43185.68,32052.05,-257.38,-0.3409
2026-08-15,75145.49,25147.26,49998.23,-92.24,-0.1226
2026-08-16,74773.65,24842.58,49931.07,-371.84,-0.4948
2026-08-17,75492.28,23752.98,51739.3,718.63,0.9611
2026-08-18,75281.87,20023.18,55258.69,-210.41,-0.2787
2026-08-19,78222.69,9401.19,68821.5,2940.82,3.9064
2026-08-20,81184.63,20613.1,60571.53,2961.94,3.7865
2026-08-21,86776.56,8459.88,78316.68,5591.93,6.8879
2026-08-22,86800.47,55005.09,31795.38,23.91,0.0276
2026-08-23,86970.41,55005.09,31965.32,169.94,0.1958
2026-08-24,87478.55,58622.6,28855.95,508.14,0.5843
2026-08-25,87277.22,58622.5,28654.72,-201.33,-0.2301
2026-08-26,87451.46,58975.72,28475.74,174.24,0.1996
2026-08-27,87807.97,54993.59,32814.38,356.51,0.4077
