date,equity,cash,holdings,dod_pnl_usd,dod_pnl_pct
2026-06-30,69142.88,41199.37,27943.51,0.0,0.0
2026-07-01,70912.94,41199.37,29713.57,1770.06,2.56
2026-07-02,74286.3,41199.37,33086.93,3373.36,4.757
2026-07-06,77298.73,41199.36,36099.37,3012.43,4.0552
2026-07-07,75176.9,41199.32,33977.58,-2121.83,-2.745
2026-07-08,75182.28,41199.3,33982.98,5.38,0.0072
2026-07-09,75514.58,41199.28,34315.3,332.3,0.442
2026-07-10,75530.51,41199.26,34331.25,15.93,0.0211
2026-07-13,74721.64,41199.24,33522.4,-808.87,-1.0709
2026-07-14,75569.77,41199.22,34370.55,848.13,1.1351
2026-07-15,75843.19,41199.2,34643.99,273.42,0.3618
2026-07-16,75180.62,41199.18,33981.44,-662.57,-0.8736
